component,version,license,use,notes
aif360,0.6.1,UNKNOWN,,
alembic,1.16.4,UNKNOWN,,
amqp,5.3.1,UNKNOWN,,
annotated-types,0.7.0,UNKNOWN,,
anyio,4.9.0,UNKNOWN,,
astroid,3.3.10,UNKNOWN,,
async-timeout,4.0.3,UNKNOWN,,
attrs,25.3.0,UNKNOWN,,
autopep8,2.0.4,UNKNOWN,,
backoff,2.2.1,UNKNOWN,,
bandit,1.8.6,UNKNOWN,,
bcrypt,4.3.0,UNKNOWN,,
billiard,4.2.1,UNKNOWN,,
boolean-py,5.0,UNKNOWN,,
boto3,1.38.41,UNKNOWN,,
botocore,1.38.41,UNKNOWN,,
build,1.2.2.post1,UNKNOWN,,
cachecontrol,0.14.3,UNKNOWN,,
cachetools,5.5.2,UNKNOWN,,
celery,5.5.3,UNKNOWN,,
certifi,2025.6.15,UNKNOWN,,
cffi,1.17.1,UNKNOWN,,
cfgv,3.4.0,UNKNOWN,,
charset-normalizer,3.4.2,UNKNOWN,,
chromadb,1.0.15,UNKNOWN,,
click,8.2.1,UNKNOWN,,
click-didyoumean,0.3.1,UNKNOWN,,
click-plugins,1.1.1,UNKNOWN,,
click-repl,0.3.0,UNKNOWN,,
colorama,0.4.6,UNKNOWN,,
coloredlogs,15.0.1,UNKNOWN,,
colorlog,6.9.0,UNKNOWN,,
contourpy,1.3.2,UNKNOWN,,
coverage,7.10.6,UNKNOWN,,
cryptography,45.0.5,UNKNOWN,,
ctgan,0.7.5,UNKNOWN,,
cycler,0.12.1,UNKNOWN,,
cyclonedx-python-lib,9.1.0,UNKNOWN,,
defusedxml,0.7.1,UNKNOWN,,
detect-secrets,1.5.0,UNKNOWN,,
dill,0.4.0,UNKNOWN,,
distlib,0.3.9,UNKNOWN,,
distro,1.9.0,UNKNOWN,,
docstring-to-markdown,0.17,UNKNOWN,,
durationpy,0.10,UNKNOWN,,
et-xmlfile,2.0.0,UNKNOWN,,
execnet,2.1.1,UNKNOWN,,
fairlearn,0.10.0,UNKNOWN,,
faker,37.4.0,UNKNOWN,,
fastapi,0.116.1,UNKNOWN,,
filelock,3.18.0,UNKNOWN,,
flake8,7.1.2,UNKNOWN,,
flatbuffers,25.2.10,UNKNOWN,,
fonttools,4.58.4,UNKNOWN,,
fsspec,2025.5.1,UNKNOWN,,
google-auth,2.40.3,UNKNOWN,,
googleapis-common-protos,1.70.0,UNKNOWN,,
greenlet,3.2.3,UNKNOWN,,
grpcio,1.73.1,UNKNOWN,,
h11,0.16.0,UNKNOWN,,
hf-xet,1.1.5,UNKNOWN,,
hiredis,3.2.1,UNKNOWN,,
httpcore,1.0.9,UNKNOWN,,
httptools,0.6.4,UNKNOWN,,
httpx,0.28.1,UNKNOWN,,
httpx-sse,0.4.1,UNKNOWN,,
huggingface-hub,0.34.4,UNKNOWN,,
humanfriendly,10.0,UNKNOWN,,
hypothesis,6.136.3,UNKNOWN,,
identify,2.6.12,"[""ukkonen""]",,
idna,3.10,UNKNOWN,,
importlib-metadata,8.7.0,UNKNOWN,,
importlib-resources,6.5.2,UNKNOWN,,
iniconfig,2.1.0,UNKNOWN,,
isort,6.0.1,UNKNOWN,,
jedi,0.19.2,UNKNOWN,,
jinja2,3.1.6,UNKNOWN,,
jmespath,1.0.1,UNKNOWN,,
joblib,1.5.1,UNKNOWN,,
jsonschema,4.24.0,UNKNOWN,,
jsonschema-specifications,2025.4.1,UNKNOWN,,
kiwisolver,1.4.8,UNKNOWN,,
kombu,5.5.4,UNKNOWN,,
kubernetes,33.1.0,UNKNOWN,,
libcst,1.8.2,UNKNOWN,,
license-expression,30.4.4,UNKNOWN,,
mako,1.3.10,UNKNOWN,,
mando,0.7.1,UNKNOWN,,
markdown-it-py,3.0.0,UNKNOWN,,
markupsafe,3.0.2,UNKNOWN,,
matplotlib,3.10.3,UNKNOWN,,
mccabe,0.7.0,UNKNOWN,,
mcp,1.10.1,UNKNOWN,,
mdurl,0.1.2,UNKNOWN,,
mmh3,5.1.0,UNKNOWN,,
mpmath,1.3.0,UNKNOWN,,
msgpack,1.1.1,UNKNOWN,,
mypy,1.17.0,UNKNOWN,,
